"y","x"
97.58776,1
97.76344,2
96.56705,3
92.52037,4
91.15097,5
95.21728,6
90.21355,7
89.29235,8
91.51479,9
89.60966,10
86.56187,11
85.55316,12
87.13054,13
85.6794,14
80.04851,15
82.18925,16
87.24081,17
80.79407,18
81.2857,19
81.5694,20
79.22715,21
79.43275,22
77.90195,23
76.75468,24
77.17377,25
74.27348,26
73.119,27
73.84826,28
72.4787,29
71.92292,30
66.92176,31
67.93835,32
69.56207,33
69.07066,34
66.53983,35
63.87883,36
69.71537,37
63.60588,38
63.37154,39
60.01835,40
62.67481,41
65.80666,42
59.14304,43
56.62951,44
61.21785,45
54.3879,46
62.93443,47
56.65144,48
57.13362,49
58.29689,50
58.91744,51
58.50172,52
55.22885,53
58.30375,54
57.43237,55
51.69407,56
49.93132,57
53.7076,58
55.39712,59
52.89709,60
52.31649,61
53.9872,62
53.54158,63
56.45046,64
51.32276,65
53.11676,66
53.28631,67
49.80555,68
54.69564,69
56.41627,70
54.59362,71
54.3852,72
60.15354,73
59.78773,74
60.49995,75
65.43885,76
60.70001,77
63.71865,78
67.77139,79
64.70934,80
70.78193,81
70.38651,82
77.22359,83
79.52665,84
80.13077,85
85.67823,86
85.20647,87
90.24548,88
93.61953,89
95.86509,90
93.46992,91
105.8137,92
107.8269,93
114.0607,94
115.5019,95
118.511,96
119.6177,97
122.194,98
126.9903,99
125.7005,100
123.7447,101
130.6543,102
129.7168,103
131.824,104
131.8759,105
131.9994,106
132.1221,107
133.4414,108
133.8252,109
133.6695,110
128.2851,111
126.5182,112
124.755,113
118.4016,114
122.0334,115
115.2059,116
118.7856,117
110.7387,118
110.2003,119
105.1729,120
103.4472,121
94.5428,122
94.40526,123
94.57964,124
88.76605,125
87.28747,126
92.50443,127
86.27997,128
82.44307,129
80.47367,130
78.36608,131
78.74307,132
76.12786,133
79.13108,134
76.76062,135
77.60769,136
77.76633,137
81.2822,138
79.74307,139
81.97964,140
80.02952,141
85.95232,142
85.96838,143
79.94789,144
87.17023,145
90.50992,146
93.23373,147
89.14803,148
93.11492,149
90.34337,150
93.69421,151
95.74256,152
91.85105,153
96.74503,154
87.60996,155
90.47012,156
88.1169,157
85.70673,158
85.01361,159
78.5304,160
81.34148,161
75.19295,162
72.66115,163
69.85504,164
66.29476,165
63.58502,166
58.33847,167
57.50766,168
52.80498,169
50.79319,170
47.0349,171
46.4709,172
43.09016,173
34.11531,174
39.28235,175
32.68386,176
30.44056,177
31.98932,178
23.6333,179
23.69643,180
20.26812,181
19.07074,182
17.59544,183
16.08785,184
18.94267,185
18.61354,186
17.258,187
16.62285,188
13.48367,189
15.37647,190
13.47208,191
15.96188,192
12.32547,193
16.3388,194
10.43833,195
9.628715,196
13.12268,197
8.772417,198
11.76143,199
12.5502,200
11.33108,201
11.20493,202
7.816916,203
6.800675,204
14.26581,205
10.66285,206
8.911574,207
11.56733,208
11.58207,209
11.59071,210
9.730134,211
11.44237,212
11.22912,213
10.17213,214
12.50905,215
6.201493,216
9.019605,217
10.80607,218
13.09625,219
3.914271,220
9.567886,221
8.038448,222
10.23104,223
9.36741,224
7.695971,225
6.118575,226
8.793207,227
7.796692,228
12.45065,229
10.61601,230
6.001003,231
6.765098,232
8.764653,233
4.586418,234
8.390783,235
7.209202,236
10.01209,237
7.327461,238
6.525136,239
2.840065,240
10.32371,241
4.790035,242
8.376431,243
6.26398,244
2.705892,245
8.362109,246
8.983507,247
3.362469,248
1.182678,249
4.875312,250
